DateTime,Open,High,Low,Close,HL
2006-02-01 06:30:00,15689,15693,15652,15663,Day Low
2006-02-02 02:00:00,15780,15782,15765,15768,Day High
2006-02-02 02:27:00,15671,15674,15666,15670,Day Low
2006-02-03 02:00:00,15608,15608,15418,15424,Day High
2006-02-03 02:01:00,15423,15435,15414,15433,Day Low
2006-02-06 02:01:00,15399,15416,15399,15416,Day Low
2006-02-06 07:58:00,15585,15601,15581,15583,Day High
2006-02-07 02:45:00,15561,15561,15550,15550,Day High
2006-02-07 04:28:00,15477,15480,15465,15472,Day Low
2006-02-08 02:00:00,15477,15477,15419,15440,Day High
2006-02-08 06:32:00,15333,15338,15324,15328,Day Low
2006-02-09 02:13:00,15462,15468,15462,15464,Day High
2006-02-09 03:29:00,15371,15376,15371,15376,Day Low
2006-02-10 02:22:00,15359,15365,15355,15365,Day Low
2006-02-10 07:01:00,15443,15443,15436,15436,Day High
2006-02-13 03:13:00,15351,15360,15349,15356,Day High
2006-02-13 06:35:00,15283,15283,15268,15268,Day Low
2006-02-14 02:05:00,10732,10734,10721,10726,Day Low
2006-02-14 07:56:00,15440,15447,15431,15447,Day High
2006-02-15 02:17:00,15507,15517,15504,15517,Day High
2006-02-15 06:30:00,15370,15376,15312,15317,Day Low
2006-02-16 02:28:00,15490,15495,15487,15493,Day High
2006-02-16 02:54:00,15446,15446,15436,15442,Day Low
2006-02-16 07:59:00,15451,15456,15436,15436,Day Low
2006-02-17 02:00:00,15502,15525,15500,15500,Day High
2006-02-17 06:31:00,15438,15454,15438,15454,Day Low
2006-02-20 02:00:00,15488,15546,15479,15546,Day Low
2006-02-20 03:32:00,15622,15630,15616,15616,Day High
2006-02-21 04:29:00,15576,15578,15568,15576,Day Low
2006-02-21 07:42:00,15655,15663,15654,15657,Day High
2006-02-22 02:18:00,15643,15645,15638,15638,Day High
2006-02-22 03:43:00,15588,15588,15585,15585,Day Low
2006-02-22 03:44:00,15587,15598,15585,15594,Day Low
2006-02-23 02:32:00,15612,15616,15610,15616,Day Low
2006-02-23 07:13:00,15849,15852,15839,15846,Day High
2006-02-24 03:33:00,15778,15786,15778,15781,Day Low
2006-02-24 07:20:00,15867,15875,15867,15875,Day High
2006-02-27 02:00:00,15889,15947,15889,15944,Day Low
2006-02-27 02:12:00,15902,15908,15889,15896,Day Low
2006-02-27 07:00:00,15992,16003,15984,15988,Day High
2006-02-28 02:00:00,15979,15979,15912,15919,Day High
2006-02-28 02:33:00,15831,15833,15824,15829,Day Low
2006-03-01 02:01:00,15782,15788,15769,15775,Day Low
2006-03-01 07:17:00,15884,15889,15883,15883,Day High
2006-03-02 03:57:00,15903,15925,15903,15925,Day High
2006-03-02 07:37:00,15848,15848,15836,15836,Day Low
2006-03-03 02:00:00,15900,15908,15875,15875,Day High
2006-03-03 07:59:00,15819,15825,15784,15801,Day Low
2006-03-06 02:17:00,15071,15081,15071,15081,Day High
2006-03-06 02:56:00,15030,15030,15021,15021,Day Low
2006-03-06 02:57:00,15024,15024,15021,15022,Day Low
2006-03-07 02:00:00,15872,15872,15817,15817,Day High
2006-03-07 07:44:00,15579,15579,15560,15574,Day Low
2006-03-08 02:00:00,15603,15603,15535,15535,Day High
2006-03-08 03:55:00,15366,15367,15341,15354,Day Low
2006-03-09 04:24:00,15466,15466,15459,15460,Day Low
2006-03-09 06:42:00,15552,15555,15552,15555,Day High
2006-03-09 06:43:00,15553,15555,15548,15549,Day High
2006-03-10 02:08:00,15512,15521,15508,15521,Day High
2006-03-10 02:44:00,15405,15408,15397,15397,Day Low
2006-03-13 04:15:00,15468,15478,15468,15478,Day Low
2006-03-13 07:59:00,15538,15552,15527,15542,Day High
2006-03-14 02:00:00,15555,15573,15525,15530,Day High
2006-03-14 03:30:00,15468,15470,15462,15466,Day Low
2006-03-15 02:00:00,15604,15651,15598,15651,Day Low
2006-03-15 07:44:00,15751,15763,15750,15756,Day High
2006-03-15 07:45:00,15758,15763,15757,15761,Day High
2006-03-16 02:54:00,15770,15774,15767,15768,Day High
2006-03-16 02:55:00,15770,15774,15769,15769,Day High
2006-03-16 04:13:00,15675,15679,15665,15677,Day Low
2006-03-17 02:21:00,15736,15736,15714,15717,Day Low
2006-03-17 07:05:00,15847,15847,15839,15845,Day High
2006-03-17 07:48:00,15843,15847,15837,15841,Day High
2006-03-20 02:00:00,15830,15873,15830,15869,Day Low
2006-03-20 04:25:00,15963,15973,15963,15965,Day High
2006-03-21 02:21:00,15872,15875,15871,15873,Day Low
2006-03-21 02:22:00,15874,15876,15871,15874,Day Low
2006-03-21 07:42:00,15928,15937,15928,15932,Day High
2006-03-22 04:28:00,15838,15840,15838,15840,Day High
